ranking,dist_class,size_class,dist,size,status,taxon,state,user_category,user_login,taxon_species_name,taxon_group,latitude,longitude,size_scaled,dist_scaled,log_dist,growth
1,wide,small,19,18,LC,Aves,Río Negro,expert,santiagomailhos,Agelaioides badius,tetrapods,-32.5293961901,-58.0376816092,-0.36781138202439406,0.4292554344470148,2.9444389791664403,NA
1,wide,small,19,8,LC,Aves,Río Negro,expert,santiagomailhos,Leucochloris albicollis,tetrapods,-32.5291692982,-58.0377183106,-0.5303620013776447,0.4292554344470148,2.9444389791664403,NA
1,medium,medium,16,32,LC,Aves,Río Negro,expert,santiagomailhos,Cyanocorax chrysops,tetrapods,-32.5288655517,-58.0381092805,-0.1402405149298432,-0.24193758231335077,2.772588722239781,NA
45,wide,large,19,60,LC,Aves,San José,intermediate,gonzalo227,Cathartes aura,tetrapods,-34.5309940358,-57.0521581918,0.3149012192592585,0.4292554344470148,2.9444389791664403,NA
45,wide,small,19,13,LC,Aves,San José,intermediate,gonzalo227,Pyrocephalus rubinus,tetrapods,-34.5276374999,-57.0580701157,-0.4490866917010194,0.4292554344470148,2.9444389791664403,NA
45,wide,medium,19,47,LC,Aves,San José,intermediate,gonzalo227,Nycticorax nycticorax,tetrapods,-34.4706151222,-57.0306143537,0.10358541410003272,0.4292554344470148,2.9444389791664403,NA
11,narrow,large,4,1400,LC,Mammalia,Maldonado,expert,gmmv80,Eubalaena australis,tetrapods,-34.8880255047,-54.7645282426,22.09668421259484,-2.9267096493548133,1.3862943611198906,NA
14,wide,medium,19,70,NE,Reptilia,Maldonado,expert,pablo_gfs,Erythrolamprus poecilogyrus,tetrapods,-34.5309177597,-54.9133473861,0.4774518386125091,0.4292554344470148,2.9444389791664403,NA
14,wide,small,19,45,LC,Mammalia,Maldonado,expert,pablo_gfs,Dasypus septemcinctus,tetrapods,-34.5309177597,-54.9133473861,0.0710752902293826,0.4292554344470148,2.9444389791664403,NA
14,wide,small,19,9,LC,Mammalia,Maldonado,expert,pablo_gfs,Desmodus rotundus,tetrapods,-34.5309177597,-54.9133473861,-0.5141069394423197,0.4292554344470148,2.9444389791664403,NA
86,wide,medium,19,35,LC,Aves,Canelones,intermediate,diegodamotta73,Patagioenas picazuro,tetrapods,-34.7307961905,-56.2273842125,-0.09147532912386802,0.4292554344470148,2.9444389791664403,NA
36,wide,small,19,30,NE,Reptilia,Rivera,intermediate,adriana_machado,Hydromedusa tectifera,tetrapods,-31.3484902623,-55.0189341232,-0.17275063880049332,0.4292554344470148,2.9444389791664403,NA
36,wide,medium,19,62,NE,Reptilia,Rivera,intermediate,adriana_machado,Lygophis anomalus,tetrapods,-31.348553828,-55.0189103186,0.3474113431299086,0.4292554344470148,2.9444389791664403,NA
3,narrow,large,5,210,LC,Mammalia,Maldonado,expert,ornitoloca,Otaria byronia,tetrapods,-34.9638528997,-54.9517711,2.753160509558018,-2.7029786437680245,1.6094379124341003,NA
2,wide,small,19,5,LC,Reptilia,Cerro Largo,expert,luisvescia,Cercosaura schreibersii,tetrapods,-32.3789419076,-54.1678467512,-0.5791271871836199,0.4292554344470148,2.9444389791664403,NA
2,wide,medium,19,44,LC,Aves,Cerro Largo,expert,luisvescia,Piaya cayana,tetrapods,-32.3789419076,-54.1678467512,0.054820228294057534,0.4292554344470148,2.9444389791664403,NA
2,wide,small,19,7,LC,Aves,Cerro Largo,expert,luisvescia,Chlorostilbon lucidus,tetrapods,-32.3789419076,-54.1678467512,-0.5466170633129698,0.4292554344470148,2.9444389791664403,NA
8,wide,small,19,16,LC,Aves,Canelones,expert,santiagoramos,Cyclarhis gujanensis,tetrapods,-34.7976979198,-55.9036759187,-0.40032150589504417,0.4292554344470148,2.9444389791664403,NA
8,wide,small,19,14,LC,Aves,Canelones,expert,santiagoramos,Cranioleuca pyrrhophia,tetrapods,-34.7976853233,-55.9040449859,-0.43283162976569434,0.4292554344470148,2.9444389791664403,NA
8,wide,small,19,18,LC,Aves,Canelones,expert,santiagoramos,Molothrus rufoaxillaris,tetrapods,-34.7383909122,-55.7128556548,-0.36781138202439406,0.4292554344470148,2.9444389791664403,NA
8,wide,large,19,65,LC,Aves,Canelones,expert,santiagoramos,Ardea alba,tetrapods,-34.7375110465,-55.7108202943,0.39617652893588384,0.4292554344470148,2.9444389791664403,NA
8,wide,large,19,85,LC,Aves,Canelones,expert,santiagoramos,Ciconia maguari,tetrapods,-34.7368832717,-55.7086428175,0.721277767642385,0.4292554344470148,2.9444389791664403,NA
8,wide,large,19,62,LC,Aves,Canelones,expert,santiagoramos,Theristicus caerulescens,tetrapods,-34.7379219951,-55.710729548,0.3474113431299086,0.4292554344470148,2.9444389791664403,NA
8,wide,medium,19,35,LC,Aves,Canelones,expert,santiagoramos,Patagioenas picazuro,tetrapods,-34.7358610554,-55.7103764723,-0.09147532912386802,0.4292554344470148,2.9444389791664403,NA
8,wide,large,19,52,LC,Aves,Canelones,expert,santiagoramos,Circus buffoni,tetrapods,-34.7361678366,-55.7119267891,0.18486072377665802,0.4292554344470148,2.9444389791664403,NA
8,wide,small,19,18,LC,Aves,Canelones,expert,santiagoramos,Agelaioides badius,tetrapods,-34.7384207801,-55.7129978118,-0.36781138202439406,0.4292554344470148,2.9444389791664403,NA
8,wide,medium,19,38,LC,Aves,Canelones,expert,santiagoramos,Himantopus mexicanus,tetrapods,-34.7353763954,-55.7105563341,-0.04271014331789283,0.4292554344470148,2.9444389791664403,NA
8,wide,medium,19,45,LC,Aves,Canelones,expert,santiagoramos,Aramides ypecaha,tetrapods,-34.7351404528,-55.7114617306,0.0710752902293826,0.4292554344470148,2.9444389791664403,NA
8,wide,medium,19,40,LC,Aves,Canelones,expert,santiagoramos,Phimosus infuscatus,tetrapods,-34.7350004428,-55.7110121798,-0.01020001944724271,0.4292554344470148,2.9444389791664403,NA
8,wide,small,19,13,LC,Aves,Canelones,expert,santiagoramos,Pyrocephalus rubinus,tetrapods,-34.7350726815,-55.711242147,-0.4490866917010194,0.4292554344470148,2.9444389791664403,NA
8,wide,medium,19,20,LC,Aves,Canelones,expert,santiagoramos,Nengetus cinereus,tetrapods,-34.7352088539,-55.7116920958,-0.33530125815374395,0.4292554344470148,2.9444389791664403,NA
8,wide,medium,19,107,LC,Mammalia,Canelones,expert,santiagoramos,Procyon cancrivorus,tetrapods,-34.7343020584,-55.711270727,1.0788891302195365,0.4292554344470148,2.9444389791664403,NA
8,wide,medium,19,35,LC,Aves,Canelones,expert,santiagoramos,Fulica armillata,tetrapods,-34.7322514544,-55.7129061272,-0.09147532912386802,0.4292554344470148,2.9444389791664403,NA
8,wide,large,19,51,LC,Aves,Canelones,expert,santiagoramos,Podiceps major,tetrapods,-34.734129779,-55.7108899454,0.16860566184133297,0.4292554344470148,2.9444389791664403,NA
8,wide,small,19,13,LC,Aves,Canelones,expert,santiagoramos,Pyrocephalus rubinus,tetrapods,-34.731904301,-55.7141056354,-0.4490866917010194,0.4292554344470148,2.9444389791664403,NA
